"","261_10","261_11","261_8","261_9","363_3","363_4","363_5","363_6","363_7","363_8","399_3","399_9"
"sp7",0,0,0,1,1,1,1,1,0,1,0,1
"sp8",1,0,1,0,1,1,1,1,1,1,1,1
"sp9",0,0,0,0,0,1,0,0,1,0,0,0
"sp11",1,1,0,1,0,0,0,0,0,1,0,1
"sp12",0,0,0,0,1,0,0,1,0,1,1,1
"sp19",0,0,0,1,1,0,1,0,1,0,1,1
"sp20",1,0,1,1,0,1,1,1,1,1,0,1
"sp21",0,0,0,0,1,1,0,0,0,0,0,0
"sp22",0,0,0,0,0,1,0,1,1,1,0,1
"sp23",0,0,0,1,0,0,0,0,0,0,0,0
"sp24",0,1,0,0,1,1,1,1,1,1,0,0
"sp25",0,0,0,1,0,0,0,0,0,1,0,0
"sp26",0,0,0,0,1,0,0,0,0,0,0,0
"sp27",1,0,1,0,0,0,0,0,0,0,0,0
"sp29",0,0,0,1,0,1,1,0,0,0,1,1
"sp30",0,1,0,0,0,1,0,1,1,1,0,1
"sp31",0,0,0,0,0,0,0,1,0,0,0,0
"sp32",0,1,0,0,0,0,1,1,0,0,1,0
"sp34",0,0,0,0,0,0,0,1,0,1,0,0
"sp36",0,0,0,0,0,1,0,0,0,0,0,0
"sp50",0,0,0,0,0,0,0,0,0,1,0,0
"sp51",1,0,0,0,0,0,0,0,0,0,0,0
"sp54",0,0,0,0,1,0,0,1,0,1,1,0
"sp55",0,0,1,0,0,0,0,0,0,0,0,0
"sp58",1,1,1,1,1,1,1,1,1,1,0,0
"sp62",1,1,1,1,1,1,1,1,1,1,1,1
"sp64",0,0,0,0,0,1,1,1,0,0,1,0
"sp69",0,0,0,0,0,0,0,0,0,0,0,1
"sp70",0,0,0,0,0,0,1,0,0,0,1,0
"sp71",0,1,1,0,1,1,1,1,1,0,1,1
"sp73",1,1,1,1,0,1,0,0,0,0,0,1
"sp75",0,0,0,0,0,0,1,1,1,1,0,0
"sp77",1,1,0,0,0,1,0,1,1,0,0,1
"sp79",1,1,1,0,0,1,0,1,1,1,0,1
"sp81",1,0,1,1,0,0,0,0,0,0,0,0
"sp82",1,1,1,1,1,1,1,1,1,1,1,1
"sp85",1,1,1,1,1,1,0,1,1,1,0,1
"sp87",1,0,1,1,1,1,1,1,1,1,1,1
"sp89",0,1,0,0,0,0,0,1,1,1,0,1
"sp90",0,0,0,0,1,0,0,1,0,0,0,1
"sp93",0,0,0,0,0,0,0,0,0,0,0,1
"sp94",0,0,0,0,0,1,0,0,0,1,1,1
"sp96",0,0,0,1,0,0,0,0,0,0,0,0
"sp98",0,0,0,0,0,1,1,1,1,1,0,1
"sp100",0,0,1,0,0,1,0,1,1,0,0,0
"sp101",1,1,1,1,1,1,1,1,1,1,1,1
"sp102",1,0,0,1,1,0,1,1,0,1,1,0
"sp103",1,1,1,1,1,1,1,1,1,1,1,1
"sp105",1,1,1,1,1,1,1,1,1,1,1,1
"sp106",0,0,0,0,0,1,0,0,0,0,0,1
"sp108",0,0,0,0,0,0,0,1,0,0,1,1
"sp110",0,0,0,0,0,0,0,1,0,0,0,0
"sp111",0,0,0,0,0,1,0,1,0,1,0,0
"sp112",1,0,0,1,0,0,0,1,1,1,1,0
"sp113",0,0,0,0,0,0,0,0,1,1,1,0
"sp115",1,0,1,1,0,1,1,1,1,1,1,1
"sp119",0,0,0,0,0,0,0,0,0,1,1,1
"sp122",0,0,0,0,0,0,0,0,0,1,0,0
"sp127",1,1,1,1,1,1,1,1,1,1,1,1
"sp128",1,1,1,0,1,1,1,1,1,1,0,1
"sp133",0,0,0,0,0,0,0,0,1,0,0,1
"sp135",0,0,0,0,0,0,0,0,0,0,1,0
"sp139",1,1,0,0,1,1,0,0,1,1,1,1
"sp140",0,0,0,0,0,0,0,0,0,1,1,1
"sp141",0,0,0,0,0,0,0,0,0,1,1,0
