"","sp","area_ha","mean_abundance","Tol"
"1","sp1",43242.6592286621,1,0.00489
"2","sp10",314.159265358979,2,0
"3","sp100",128463.634028833,3.58823529411765,0.4523
"4","sp101",4877033.31048721,18.6565656565657,0.70354
"5","sp102",373299.742746387,2.13793103448276,0.49542
"6","sp103",11030032.0599028,18.3385416666667,0.61462
"7","sp104",1517812.06923936,3.57692307692308,0.38565
"8","sp105",348152.024633166,6.51219512195122,0.62468
"9","sp106",280834.941480969,1.4,0.26136
"10","sp107",934795.89343064,2.5625,0.33835
"11","sp108",8454072.00938799,2.74193548387097,0.30886
"12","sp109",314.1591360107,1,0
"13","sp11",414267.334815002,2.94594594594595,0.59155
"14","sp110",314.159265358979,1.25,0.06855
"15","sp111",942.477796076938,3.75,0.38503
"16","sp112",345152.384458398,3.14285714285714,0.6682
"17","sp113",50715.8776727783,1.66666666666667,0.63764
"18","sp114",316519.447045996,1.61538461538462,1.21109
"19","sp115",9744020.07436138,11.4859813084112,0.61443
"20","sp116",942.477796076938,1.28571428571429,0.23129
"21","sp117",951402.475094507,11.875,0.33778
"22","sp118",247880.778037598,22.4,1.04623
"23","sp119",74748.6385835815,6.33333333333333,0.43649
"24","sp12",8721134.82595488,3.53333333333333,0.77112
"25","sp120",1591714.64226763,9.57291666666667,1.43106
"26","sp121",314.159265358979,1,0
"27","sp122",10764350.0678621,11.5034013605442,3.26121
"28","sp123",628.318530717959,1.5,0.61686
"29","sp124",314.159265358979,2.86666666666667,1.4803
"30","sp125",1465520.51544731,8.47058823529412,1.87095
"31","sp126",1603611.62587439,31.8265306122449,1.20891
"32","sp127",479136.738446179,23.2020202020202,1.10943
"33","sp128",10885072.8885397,6.45112781954887,0.42794
"34","sp129",9495690.54975313,2.26315789473684,0.41019
"35","sp13",6194630.40235657,4.88235294117647,0.36524
"36","sp130",628.318530717959,1,0.03038
"37","sp131",694283.169178687,3.92857142857143,0.38504
"38","sp132",10701443.6257318,63.2413793103448,0.70802
"39","sp133",264373.570814465,1.76923076923077,0.2867
"40","sp134",226887.250857153,1.14285714285714,0.94293
"41","sp135",349798.430681018,14.8235294117647,1.28737
"42","sp136",9095042.28958897,76.2878787878788,3.19841
"43","sp137",1178684.18464565,3.33333333333333,0.65001
"44","sp138",1403316.59108655,351.619718309859,2.63578
"45","sp139",8335008.17739519,3.48275862068966,1.66161
"46","sp14",1578844.34242441,9.78571428571429,0.45282
"47","sp140",6402237.34541604,2.5,2.10283
"48","sp141",6494431.70023733,1.92857142857143,0.81461
"49","sp142",314.159265358979,1,0
"50","sp143",314.159265358979,1,0
"51","sp144",12435.1149841797,1,3.59872
"52","sp145",314.159265358979,1,0
"53","sp146",314.159265358979,1,0
"54","sp147",314.159265358979,1,0
"55","sp148",314.159265358979,12,0
"56","sp149",314.159265358979,1,0
"57","sp15",952.7005852295,1.5,0.31833
"58","sp150",628.318530717959,1,0.01765
"59","sp151",112317.232826465,1.81818181818182,2.41851
"60","sp152",60025.4471851563,1.25,0.49582
"61","sp153",628.318530717959,1,0.10036
"62","sp154",314.159265358979,1,0
"63","sp155",314.159265358979,1,0
"64","sp156",942.477796076938,1,0.03006
"65","sp157",942.477796076938,1,0.34931
"66","sp158",148781.860446143,2.57142857142857,0.50557
"67","sp16",1127376.40905046,2.8,0.50015
"68","sp17",68350.9047213867,2,0.07264
"69","sp18",314.159265358979,1,0.00791
"70","sp19",351297.543785229,51.5588235294118,0.42304
"71","sp2",314.159265358979,1,0
"72","sp20",9967409.79856209,4.35632183908046,0.78396
"73","sp21",9934653.00051018,7.43617021276596,1.76946
"74","sp22",443180.03349303,18.2173913043478,1.03506
"75","sp23",289986.060742053,10.5333333333333,2.78469
"76","sp24",436941.376467957,7.08474576271186,1.59214
"77","sp25",378939.252198633,5.12121212121212,1.02294
"78","sp26",334017.350330371,3.33333333333333,0.91266
"79","sp27",367199.677228992,5.06451612903226,0.56887
"80","sp28",317670.686447717,1.2,0.74914
"81","sp29",455188.582980859,20.469696969697,0.92664
"82","sp3",182246.692140503,1,0.00522
"83","sp30",400661.932436438,6,0.8463
"84","sp31",41189.324852002,1,0.13024
"85","sp32",163344.695921081,6.9,0.70544
"86","sp33",35326.0667628174,3.5,0.53848
"87","sp34",299738.294900696,2.3125,0.53116
"88","sp35",17825.7006196289,1,0.17923
"89","sp36",9886098.34659661,10.7777777777778,3.26561
"90","sp37",1404990.10236707,2.14285714285714,0.86283
"91","sp38",385689.251596558,7,2.03255
"92","sp39",367304.811387036,1.6,1.22867
"93","sp4",314.159265358979,1,0
"94","sp40",150118.400604834,1.25,2.25097
"95","sp41",375610.539431104,2.83333333333333,0.52928
"96","sp42",314.1591359375,1,0
"97","sp43",410572.952620557,6.18518518518519,0.26934
"98","sp44",1603368.36462871,12.2,1.42239
"99","sp45",339092.165667163,2.38461538461538,0.65813
"100","sp46",13039.7654991699,1,0.31797
"101","sp47",314.1591361572,1,0
"102","sp48",4088.6554338867,4,0.4878
"103","sp49",367599.481519898,36.8666666666667,0.66643
"104","sp5",628.318530717959,1.5,0.2355
"105","sp50",255951.523769971,4.42105263157895,0.5539
